Date,Close,Close_10d_ahead,RandomForest_Predicted_Close_10d_ahead,Actual_vs_Predicted_Diff %,Predicted_Higher,Actual_Higher,Prediction_Correct,ticker,LinearRegression_Predicted_Close_10d_ahead,GradientBoosting_Predicted_Close_10d_ahead,XGBoost_Predicted_Close_10d_ahead
2024-10-22,34.779998779296875,33.79999923706055,,-0.05469357562364181,True,False,False,TRN,35.755600898787115,,
2024-10-23,34.7599983215332,37.0,,0.023173060090011417,True,True,True,TRN,36.16201544315974,,
2024-10-24,35.7599983215332,36.86000061035156,,0.016921580594564674,True,True,True,TRN,36.24665000107539,,
2024-10-25,35.439998626708984,37.13999938964844,,0.02831950273515029,True,True,True,TRN,36.11717884457362,,
2024-10-28,36.150001525878906,38.20000076293945,,0.056303708967359894,True,True,True,TRN,36.16384231035569,,
2024-10-29,35.63999938964844,38.279998779296875,,0.04735179059182896,True,True,True,TRN,36.549322895286146,,
2024-10-30,35.72999954223633,37.869998931884766,,0.036298698883038175,True,True,True,TRN,36.54351681875359,,
2024-10-31,34.279998779296875,37.369998931884766,,-0.021505011654410527,True,True,True,TRN,38.19130335564504,,
2024-11-01,32.58000183105469,37.220001220703125,,0.026419726289508567,True,True,True,TRN,36.26196990119515,,
2024-11-05,33.79999923706055,37.97999954223633,,0.03844345896511958,True,True,True,TRN,36.573969641145425,,
2024-11-06,37.0,37.04999923706055,,0.03501143636765571,False,True,False,TRN,35.79670517176748,,
2024-11-07,36.86000061035156,37.16999816894531,,0.008897508031158656,False,True,False,TRN,36.84219444795909,,
2024-11-08,37.13999938964844,37.54999923706055,,0.02441269978579239,False,True,False,TRN,36.655148110631934,,
2024-11-11,38.20000076293945,37.869998931884766,,0.028159834156095846,False,False,True,TRN,36.83279357335342,,
2024-11-12,38.279998779296875,37.68000030517578,,0.006859962996328706,False,False,True,TRN,37.42327800287474,,
2024-11-13,37.869998931884766,37.45000076293945,,0.010746598703271227,False,False,True,TRN,37.05181972512756,,
2024-11-14,37.369998931884766,37.70000076293945,,0.03605079893555658,False,True,False,TRN,36.38817787860654,,
2024-11-18,37.439998626708984,37.349998474121094,,0.026406590549481464,False,False,True,TRN,36.38908675959102,,
2024-11-19,37.97999954223633,37.540000915527344,,0.017102560130225347,False,False,True,TRN,36.90876651684063,,
2024-11-20,37.04999923706055,37.349998474121094,,0.020696461053557536,False,True,False,TRN,36.592659913377794,,
2024-11-21,37.16999816894531,37.97999954223633,,0.052825305815589134,False,True,False,TRN,36.074360420900476,,
2024-11-22,37.54999923706055,37.36000061035156,,0.03316913678234682,False,False,True,TRN,36.16058521328249,,
2024-11-25,37.869998931884766,38.369998931884766,,0.058047798434239455,False,True,False,TRN,36.264901253673905,,
2024-11-26,37.68000030517578,37.90999984741211,,0.030673513058321302,False,True,False,TRN,36.78177363355504,,
2024-11-27,37.45000076293945,37.380001068115234,,0.041726408435791305,False,False,True,TRN,35.882743074780386,,
2024-11-29,37.70000076293945,37.31999969482422,,0.04220092040452029,False,False,True,TRN,35.80883394378391,,
2024-12-02,37.66999816894531,37.779998779296875,,0.03136991374341576,False,True,False,TRN,36.63089089168039,,
2024-12-04,37.540000915527344,34.970001220703125,,-0.04091771458558052,False,False,True,TRN,36.46194049511882,,
2024-12-06,37.97999954223633,35.7599983215332,,-0.002221559496417037,False,False,True,TRN,35.83961816561699,,
2024-12-10,38.369998931884766,35.83000183105469,,-0.04513249762626324,False,False,True,TRN,37.5235325759686,,
2024-12-11,37.90999984741211,35.90999984741211,,-0.006098833019154753,False,False,True,TRN,36.13035283628375,,
2024-12-12,37.380001068115234,35.47999954223633,,-0.016932705814112624,False,False,True,TRN,36.091119857281555,,
2024-12-16,37.779998779296875,35.099998474121094,,-0.029436940669919066,False,False,True,TRN,36.164572859746414,,
2024-12-17,36.68000030517578,35.08000183105469,,-0.05359818404546909,True,False,False,TRN,37.066710185539286,,
2024-12-18,34.970001220703125,35.939998626708984,,-0.021294357055054766,True,True,True,TRN,36.72196935389562,,
2024-12-20,35.7599983215332,35.29999923706055,,-0.049135085998678586,True,False,False,TRN,37.12409482911207,,
2024-10-01,245.5500030517578,245.7899932861328,,0.02411150917352115,False,True,False,UNP,240.00315501237785,,
2024-10-02,243.35000610351562,248.10000610351562,,0.04483359784270437,False,True,False,UNP,237.45408514405958,,
2024-10-04,238.86000061035156,244.10000610351562,,0.04302200789349343,False,True,False,UNP,234.03150101933565,,
2024-10-08,237.55999755859375,241.4499969482422,,0.008128095479764626,True,True,True,UNP,239.5032913286054,,
2024-10-09,237.67999267578125,241.35000610351562,,0.014201296963201432,True,True,True,UNP,237.97051613539062,,
2024-10-10,238.82000732421875,230.75,,-0.027674711629491908,False,False,True,UNP,237.3176988811093,,
2024-10-11,242.30999755859375,230.3000030517578,,-0.030886600404871477,False,False,True,UNP,237.63989141825036,,
2024-10-14,245.27000427246094,231.97999572753906,,-0.026300783460722756,False,False,True,UNP,238.24605359347274,,
